"service_id","date","exception_type"
"2","20130803","2"
"1","20130803","1"
"3","20130804","2"
"1","20130804","1"
"2","20130810","2"
"1","20130810","1"
"3","20130811","2"
"1","20130811","1"
"2","20130817","2"
"1","20130817","1"
"3","20130818","2"
"1","20130818","1"
"2","20130824","2"
"1","20130824","1"
"3","20130825","2"
"1","20130825","1"
"2","20130831","2"
"1","20130831","1"
"3","20130901","2"
"1","20130901","1"
"2","20130907","2"
"1","20130907","1"
"3","20130908","2"
"1","20130908","1"
"2","20130914","2"
"1","20130914","1"
"3","20130915","2"
"1","20130915","1"
"2","20130921","2"
"1","20130921","1"
"3","20130922","2"
"1","20130922","1"
"2","20130928","2"
"1","20130928","1"
"3","20130929","2"
"1","20130929","1"
"2","20131005","2"
"1","20131005","1"
"3","20131006","2"
"1","20131006","1"
"2","20131012","2"
"1","20131012","1"
"3","20131013","2"
"1","20131013","1"
"2","20131019","2"
"1","20131019","1"
"3","20131020","2"
"1","20131020","1"
"2","20131026","2"
"1","20131026","1"
"3","20131027","2"
"1","20131027","1"
"2","20131102","2"
"1","20131102","1"
"3","20131103","2"
"1","20131103","1"
"2","20131109","2"
"1","20131109","1"
"3","20131110","2"
"1","20131110","1"
"2","20131116","2"
"1","20131116","1"
"3","20131117","2"
"1","20131117","1"
"2","20131123","2"
"1","20131123","1"
"3","20131124","2"
"1","20131124","1"
"2","20131130","2"
"1","20131130","1"
"3","20131201","2"
"1","20131201","1"
"2","20131207","2"
"1","20131207","1"
"3","20131208","2"
"1","20131208","1"
"2","20131214","2"
"1","20131214","1"
"3","20131215","2"
"1","20131215","1"
"2","20131221","2"
"1","20131221","1"
"3","20131222","2"
"1","20131222","1"
"2","20131228","2"
"1","20131228","1"
"3","20131229","2"
"1","20131229","1"
"2","20140104","2"
"1","20140104","1"
"3","20140105","2"
"1","20140105","1"
"2","20140111","2"
"1","20140111","1"
"3","20140112","2"
"1","20140112","1"
"2","20140118","2"
"1","20140118","1"
"3","20140119","2"
"1","20140119","1"
"2","20140125","2"
"1","20140125","1"
"3","20140126","2"
"1","20140126","1"
"2","20140201","2"
"1","20140201","1"
"3","20140202","2"
"1","20140202","1"
"2","20140208","2"
"1","20140208","1"
"3","20140209","2"
"1","20140209","1"
"2","20140215","2"
"1","20140215","1"
"3","20140216","2"
"1","20140216","1"
"2","20140222","2"
"1","20140222","1"
"3","20140223","2"
"1","20140223","1"
"2","20140301","2"
"1","20140301","1"
"3","20140302","2"
"1","20140302","1"
"2","20140308","2"
"1","20140308","1"
"3","20140309","2"
"1","20140309","1"
"2","20140315","2"
"1","20140315","1"
"3","20140316","2"
"1","20140316","1"
"2","20140322","2"
"1","20140322","1"
"3","20140323","2"
"1","20140323","1"
"2","20140329","2"
"1","20140329","1"
"3","20140330","2"
"1","20140330","1"
"2","20140405","2"
"1","20140405","1"
"3","20140406","2"
"1","20140406","1"
"2","20140412","2"
"1","20140412","1"
"3","20140413","2"
"1","20140413","1"
"2","20140419","2"
"1","20140419","1"
"3","20140420","2"
"1","20140420","1"
"2","20140426","2"
"1","20140426","1"
"3","20140427","2"
"1","20140427","1"
"2","20140503","2"
"1","20140503","1"
"3","20140504","2"
"1","20140504","1"
